"MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"C4965922","Simply Gorgeous & Luxury Unit, One Of A Kind Unique & Prestigious Condo At Burano.You Are Mins Away From The Best Of Dt. Private Sw Corner Unit W Panoramic Views & Offering Spacious 3Br+Den, High Ceilings,Hrdwd Flrs, Functional Layout & Great Space For Entertaining. Lrg Mstr Bdrm W. His/Hers Closet. All Bdrms Are Of Great Size W Floor To Ceiling Windows & Private Doors. Great Kitchen W/ Island & Plenty Of Storage. Steps To Yorkville, Uft, Fin&Entmnt Districts**** EXTRAS **** Parking+Locker Included. S/S Appl: Stove,Fridge,Microwave-Hoodfan. Granite Counter Tops, Stacked Washer/Dryer.Great Outdoor Pool,Gym,Party Room, Business/Study Room W. Private Study Rooms, All Light Fixtures, Elf, & Window Coverings Incl. (27489563)","2","3 + 1",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",,"$1,099,900 ","Single Family","1","Condominium/Strata","M5S1Z6"
"C4965932","Welcome To The Perfect Work/Live Condo! This Renovated 2 Bed/2-Full Bath Unit Has A Gorgeous Gourmet Kitchen, In-Suite Laundry, & Large Living/Dining Area. Work From Home In Comfort At One Of The Two Built-In Work Spaces Or Meet W/ Clients In One Of 5 Boardroom-Style Meeting Rooms (High-Speed Wifi Included In Monthly Fee!). Relax In Your Enclosed Balcony W/ Lumon Windows That Open Fully For Fresh Air. Amazing Location Within Walking Distance Of Every Amenity!**** EXTRAS **** 24 Hour Concierge/Security, Conference Room, 5 Meeting Rooms, Indoor Saltwater Pool And Spa, Gym, Yoga Room, Rooftop Terrace With Spa/Bbqs/Outdoor Seating/Lounge Area, Party Room, Billiards Room, Library, Squash And Racquetball Courts. (27489575)","2","2",,"Apartment","Security/Concierge, Party Room, Exercise Centre",,"$1,199,000 ","Single Family","1","Condominium/Strata","M5A4K3"
"C4965935","Welcome To This Spacious And Beautifully Maintained 1 Bedroom + Den, 1 Bath In The Heart Of Downtown Toronto, Updated Condo In """" The Modern"""" Has Quick Access To Central Business Districts, Transportation Is At Your Door Step. Upgrade's (Approx 12K) Include Engineered Hardwood Throughout, Upgraded Kitchen Hardware, Ceasertone Counter-Top With Mirrored Back-Splash. Updated Lighting Fixtures Throughout And Window Treatments.**** EXTRAS **** Den Can Be Converted Into A Second Bedroom, Murphy Bed Included. 9Ft Floor To Ceiling Windows With Unobstructed West Facing Views Of The City.Underground Parking Space Included. Investors, You Don't Want To Miss Out On This Opportunity! (27489579)","1","1 + 1",,"Apartment","Car Wash, Security/Concierge, Exercise Centre",,"$674,000 ","Single Family","1","Condominium/Strata","M5A1P9"
"E4965500","Calling All Renovators, Contractors And  Handy People! Create Your Own """"Dream Home"""" With This Detached Property With A Full Basement. This Property Is Located In Prime Gta Between Leslieville And The Beaches. Steps To Leslieville Market And Walking Distance To Lake Ontario, Woodbine Beach, Ashbridges Bay And Only Minutes To The Downtown Core With Ttc At The End Of The Street.**** EXTRAS **** This Entire Property Is Being Sold In As-Is Condition With No Guarantees, Warranties Or Representations! (27489151)","2","2",,"House",,,"$699,000 ","Single Family",,"Freehold","M4L2Z4"
"W4965525","Desirable Deluxe Duplex In Trendy Junction! First Time On The Market Since 1982. Renovate This Into A Large Single Family Home Or Turn This Into An Amazing Investment Property. Detached Garage And 2 Surface Parking Spaces Make This Property Advantageous. Large Principle Rooms, High Ceilings On Main Floor, 3 Kitchens, And Loads Of Potential. Close To Cafes, Ttc, Subway, Schools, Parks And More! Property Sold As Is Where Is.**** EXTRAS **** 3 Existing Stoves, 1 Fridge, 1 Stand Up Freezer, 1 Washer, 1 Dryer, Water Filtration System, Existing Electrical Light Fixtures, Existing Window Coverings. Hot Water Tank Rental $19.35/Mo. Flat Roof 2006, Furnace/20, A/C 19. No Survey Avail (27489316)","2","3 + 1",,"House",,,"$1,350,000 ","Single Family","3","Freehold","M6P3V3"
"C4965617","Enjoy The Magnificent Views Form This Beautiful & Chic 1 Bedroom Lower Penthouse Unit. At 640 Sq Ft, Boasting One Of The Largest One Bedroom Layouts, This Unit Exudes Charm & Sophistication And Features High End Fisher Paykel Appliances (2019), Upgraded Faucets, Custom Blackout Vinyl Shutters In Bedroom, Granite Counters, Marble Backsplash, Textured Designer Living Room Wall. Two Lockers (!) & Parking Included. Close To Cafes, Restaurants, Bars, Grocery Store**** EXTRAS **** Existing: S/S:Fridge/Induction Stove/Blt-In 2 Drawer Dw/Blt-In Micro, W/D, Elfs/Window Coverings, Front Door Shoe Rack & Coat Rack, Bathroom Shelving, Bedroom Wardrobe, Bdrm Desk, Kit Island, Parking, 2 Lockers. Unit Shows Extremely Well! (27489172)","1","1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",,"$639,000 ","Single Family","1","Condominium/Strata","M6K3R5"
"C4965635","Luxurious Ice Condos! Large 579 Sq Ft Unit One Bedroom + Den With Floor To Ceiling Windows And High 9 Ft. Ceiling, Hardwood Floors, Walk To Union Station, Ripley's Aquarium, Real Sports Bar, Connected To Underground Path, Located At Heart Of Entertainment & Financial Districts. Partial View Of Lake, Ttc Subway, Rogers Centre, Scotiabank Arena, Cn Tower, Longo's Supermarket, Harbor Front**** EXTRAS **** Fridge, Stove, Microwave, Dishwasher. Stacked Washer/Dryer. 24 Hr Concierge. Luxurious Amenities Include Fitness & Weight Areas. Party, Meeting & Board Rooms. Business Center. Yoga Studio. Indoor Pool With Jacuzzi, Sauna & Steam Rooms (27489198)","1","1 + 1",,"Apartment","Security/Concierge, Party Room, Exercise Centre",,"$628,000 ","Single Family",,"Condominium/Strata","M5J2Z2""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"C4965688","Check Out This Absolutely Perfect King West 1 Bedroom Suite In Dna 1! Spacious And Well Laid Out! Modern Look. 9 Foot Ceilings. Open Plan Kitchen, Spacious Living Area, Luxe Bath With Rain Shower And Soaker Tub And Ample Storage. Gas Hook Up On Balcony. One Parking And One Locker! Step Out To Trinity Bellwoods Park, Liberty Village, Ttc, Restaurants, Bars, Shops And More!**** EXTRAS **** Stainless Steel Gas Stove, Stainless Steel Fridge, Microwave, Dishwasher, Washer, Dryer, Light Fixtures, Window Coverings. Fantastic Building Amenities Including Oversized Year Round Terrace, Bbq, Party Room, Exercise Room, Visitor Parking. (27489260)","1","1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$574,900 ","Single Family","1","Condominium/Strata","M6K0A1"
"C4965711","If You Are Looking For 'Convenience' And 'Top Amenities' At A Reasonable Price ($845/ Psf), You've Found It!!! Luxurious, Spacious (1360 Sq Ft), & Bright! 2 Bed + Den Southeast Corner Unit! Breathtaking Views Of The City & Lake. Direct Access To The Path, Union Station & Financial District. Longo's Supermarket, Lcbo, Td Bank At Your Footsteps. Great For Executives And Empty Nesters.**** EXTRAS **** Amazing Amenities Include 24Hr Concierge, Business Centre, Gym, Outdoor / Indoor Pools, Gym, Party Room. New Engineer Laminate Floor (2018) And Newly Painted (2018). Custom Blinds & Light Fixtures Throughout! Includes One Parking. (27489287)","2","2 + 1",,"Apartment","Security/Concierge, Party Room, Exercise Centre",,"$1,150,000 ","Single Family","1","Condominium/Strata","M5J0A6"
"C4965712","Excellent South/East Facing City View And Gorgeous Lakeview! Fabulous 1 Bdrm Modern Condo.  Gorgeous Kitchen W/ Granite Counter. Unit Includes One Parking & One Locker. Amenities Including Outdoor Swimming Pool, Gym, Rooftop Garden With Bbq, Sauna.24 Hrs Concierge. Walking Distance To T.T.C. Waterfront, Cn Tower & Library, Union Station, Cn Tower, Ripley's Aquarium, Air Canada & Rogers Centre, Steps To Grocery/Shops**** EXTRAS **** Stainless Steel Fridge, Stove, B/I Dishwasher, Stacked Washer/Dryer, Electrical Light Fixtures, Blinds, One Parking And One Locker. (27489289)","1","1",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre",,"$558,000 ","Single Family","1","Condominium/Strata","M5V3Z7"
"C4965760","Tridel At The Well, Mixed-Use Community - Urban Living In Downtown Toronto, Impressive Designs & Suite Finishes. Tentative Occupancy Summer 2022**** EXTRAS **** Tridel Connect, Smart Home Technology (27489353)","2","2 + 1",,"Apartment","Security/Concierge, Party Room, Exercise Centre",,"$1,290,000 ","Single Family",,"Condominium/Strata",""
"C4965762","Welcome To This South Facing 2 Bedroom, 1 Den, 2 Bathroom Unit Where The Entertainment District Meets Harbourfront, Unobstructed Lake View From An Open Balcony,Parking & Locker Included, A Long List Of Incredible Amenities, Walking Distance To Waterfront & Parks, Entertainment&Financial District, Rogers Centre, Aquarium And Cn Tower And Hwy Access Off Of Spadina To Gardner.**** EXTRAS **** Fridge, Stove,B/I Dishwasher,B/I Microwave W/Hood Fan,Stacked Washer/Dryer.All Window Coverings Elf's.Amenities:24H Concierge,Indoor Pool,Spa,Sauna,Gym,Basketball Courts,Theatre,Meeting Room,Party Room,Billiards,Guest Suites,Visitor Parking (27489356)","2","2 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Recreation Centre",,"$829,000 ","Single Family","1","Condominium/Strata","M5V3S1"
"C4965763","Studio Unit W/ 402 Sq.Ft. Functional Layout W/ Open Concept Living/Dining/Kit. Area Facing West Located In The Heart Of The Entertainment District, Close To Financial District, Steps To Major Downtown Areas, Cn Tower, Rogers Centre, China Town, Restaurants & Shops. Building Amenities: Party Room, Guest Suites, Theatre Lounge, Bar, Billiard Lounge, Fitness Water Spa, Massage, Outdoor Terrace Etc.**** EXTRAS **** Built-In Energy Star Refrigerator W/ Custom Panel For Matching Kitchen Cabinetry, Stainless Steel Range W/ Glass Top, Build-In Dishwasher, Stainless Steel Microwave Oven, Integrated Exhaust Fan Built Into Kitchen Cabinetry. (27489358)","1","0",,"Apartment","Security/Concierge, Exercise Centre",,"$439,000 ","Single Family",,"Condominium/Strata","M5V2G4"
"C4965770","A Must See! Luxury 1 Br + Den Unit, 2 Full Baths, 9' Ceilings, With Parking & Locker! This Building Has One Of The Lowest Maintenance Fees Downtown! Enjoy Water And City Views! Spacious Den Perfect For A Home Office. Upgraded Kitchen W/ Quartz Countertop, Breakfast Bar & Moen No Touch Faucet. Motorized Blackout Blinds. Large Master W/ 4Pc Ensuite, Quartz Counter & His/Her Closet. 2018 High-End Vinyl Floors. Steps To Harbourfront/Union Station/ Financial Dist.**** EXTRAS **** Incl:S/S Appliances; Fridge, Stove, Dishwasher & Microwave. Washer & Dry. All Elfs, All Window Coverings & Existing Tv Wall Mount. Amenities: 24 Hr Concierge, Gym & Yoga Studio, Indoor Swimming Pool, Sauna, & Bbq Terrace. Financials Attach. (27489366)","2","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",,"$599,900 ","Single Family","1","Condominium/Strata","M5E1Z8"
"C4965775","** Luxury 1 Bdrm Unit Centrally Located In The Heart Of Downtown Toronto ** Walking Distance To Two Subways (St. Patrick & Osgoode Station) & Close To Streetcars, City's 5 Major Hospitals, Short Walk To Bay St., Financial Ctr, Osgood Hall, U Of T ** Steps To The Art Gallery Of Ontario Museum, Theater, Shopping & All Amenities ** 9' Upgraded Smooth Ceiling ** Open Concept Interior Layout & Modern Design ** Laminate Floors Thru-Out ** Newly Fresh Painted ****** EXTRAS **** Panelled Refrigerator & Built-In Dishwasher, Glass Cook Top With Built In Oven, Built In Microwave With Hood Fan, Stacked Front Load Washer & Dryer, All Existing Elfs & Window Coverings. (27489373)","1","1",,"Apartment","Security/Concierge, Party Room",,"$564,900 ","Single Family",,"Condominium/Strata","M5T1T4"
"C4965781","B E S T - V A L U E $875/Sq.Ft With A Locker In Prime Downtown! South Facing One Bed + Den At 616 Sq Ft. Den That Can Be Used As An Additional Sleep Area Or Excellent Office, 4 Pc Washroom With Entrance From Bedroom And The Den, Kitchen Area With Breakfast Bar That Overlooks The Living Area, Bedroom Has Window, Wood Floors, Integrated Appliances, Partial Lakeview.**** EXTRAS **** Fridge, Oven, Cooktop, Dishwasher, Washer, Dryer, Electrical Light Fixtures, Locker. Excellent Condition, Paint Recently Touched Up. (27489381)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$539,000 ","Single Family",,"Condominium/Strata","M5J2Z2""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"N4965929","Luxury Hotel Living Connected To The Marriott In Downtown Markham. Unobstructed Sunny West View. Bright 2 Bedroom Unit + Parking & Locker. Over $15,000 Spent On Upgrades. Fabulous White Kitchen With Island. Second Bedroom Fits Queen Bed. Shares Hotel Facilities. Roof Top Garden.Check Virtual Tour For Details.**** EXTRAS **** Modern Integrated Fridge, Glass Cook Top, S/S B/I Stove, B/I Dishwasher, Microwave, Kitchen Island With Granite Counter. White Sleek Lacquer Kit. Close To Hwy 407/7, Viva Stop, Cineplex Theatres, Ymca, Unionville Go, & Proposed York U. (27489684)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",,"$608,888 ","Single Family","1","Condominium/Strata","L6G0G5"
"W4965603","Stunning 2-Storey Loft In Mystic Pointe! Freshly Painted With 18' Floor To Ceiling Windows. Open Concept Kitchen And Living Room With A Walk-Out To Large Balcony. Great Location With 24/7 Concierge, Indoor Pool, Exercise Room, Sauna, Party Room, Visitor Parking.**** EXTRAS **** Fridge, Stove, Washer/Dryer, Dishwasher, All Window Coverings, All Light Fixtures. (27489416)","2","1 + 1",,"Apartment","Storage - Locker",,"$589,000 ","Single Family","1","Condominium/Strata","M8Y0A7"
"W4965615","Stunning Unit With Unobstructed Views Over Ravine. Well-Maintained 3 Full Bedrooms + 2 Full Bathroom Luxury Building By Tridel With Lots Of Amenities; Master Bedrm W/4Pc Ensuite & 2 Other Bedrms With Exceptional Size. Modern Eat-In Kitchen With New Stainless Steel Appliances. Large Living Room Comb/Dining Room With W/O To Balcony Having Nw View. Great Location Connected To All Major Cities Of Gta. Close To Ttc, Hospital, Park, All Hwys & School.**** EXTRAS **** S/S Fridge, S/S Stove, S/S B/I Dishwasher, Washer & Dryer. All Existing Light Fixtures And Window Coverings. (1) Parking Space, (1) Locker. (White Fridge Is Not Included) (27489434)","2","3",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",,"$610,000 ","Single Family","1","Condominium/Strata","M9W7J4"
"W4965679","Exceptional 2 Bedroom, 2 Bath Suite W/9 Ft Ceilings, Custom Built Kitchen W/Stainless Steel Appliances. Great Location Inside Plaza Filled W/ Amenities, Restaurants, Stores, Bakery, Bank & Much More. Steps To All 400 Series Hwy's, Schools, Ttc.**** EXTRAS **** Stainless Steel Fridge, Stove, Dishwasher, Microwave. Washer & Dryer, All Elf's. One Bathroom Has Shower. Modern Kitchen With Marble Counters & Backsplash. Building With Exercise/Gym, Party/Game Room, Visitor Parking, Concierge Services. (27489518)","2","2",,"Apartment","Storage - Locker, Party Room, Exercise Centre, Recreation Centre",,"$529,900 ","Single Family","1","Condominium/Strata","M6N5J1"
"W4965700","Convenient Location, Great Amenities, And Excellent Split Layout Make This Condo A Perfect Choice! Close To Highways And Subway An Easy Trip To Work Or Play Downtown Or Across Town! Over 880 Square Feet Of Well Laid Out Living Space, Excellent Building Amenities, Upgraded Kitchen, And A Quiet Balcony To Enjoy Your Affordable Little Oasis That Is Just A 20 Min Drive From The Downtown Action.**** EXTRAS **** Inclusions: Fridge, Stove, Dishwasher, Clothes Washer And Dryer, Microwave. Great Amenities, Bike  Storage, Concierge, Exercise Room, Games Room, Party/Meeting Room, Visitor Parking. (27489549)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",,"$589,900 ","Single Family","1","Condominium/Strata","M9A0A3"
"W4965808","Tridel's Grand Ovation Has All The Amenities , This Lavish Suite Comes With 2 Bdrms + Den , Facing Celebration Square View, Featuring 9Ft Ceilings, Granite Counter Tops & Under Cabinet Lighting In Kitchen. Amenities: Indoor Pool, Sauna, Gym, Virtual Golf, Bowling, Billiards, Hobby Rm, Rec Rm, Exercise Rm, 24 Hour Security Guard And Fob System.**** EXTRAS **** Fridge, Stove, Microwave, Built-In Dishwasher, Washer, Dryer, Locker & Parking Space. Window Covering And All Elf. (27489683)","2","2 + 1",,"Apartment","Storage - Locker",,"$599,000 ","Single Family","1","Condominium/Strata","L5B4P9"
"W4965844","Location! Location! Location! Minutes Away From All Major Highways. Walking Distance From The Future Mississauga Lrt. Natural Light Shines Through This Bright And Spacious, Beautifully Maintained And Updated Condo Townhome. Open Concept Layout, With Large Living Area And Walk-Out To A Rare Large Balcony. Recently Renovated Kitchen With Quartz Counter. Minutes To Square One Shopping. Walking Distance To Elementary And High Schools.**** EXTRAS **** Newer Windows And Doors. Newer Kitchen With Modern Backsplash And Quartz Counters. Newer Furnace And Ac. Large Built In Garage. Newer Driveway. Steps To Shopping, Schools, And Major Highways. Meticulously Clean W/ Lots Of Love And Care. (27489733)","2","3",,"Row / Townhouse","Security/Concierge",,"$608,000 ","Single Family","2","Condominium/Strata","L4Z3N8"
"W4965900","Beautiful, 636 Sq Ft 1 Bedroom + Den Unit. Huge, South-Facing Balcony With Incredible Views Of The City. Close To Ttc, 427, Qew, Go, Pearson, Shopping & Restaurants. Nine Foot Ceilings. Floor To Ceiling Windows.**** EXTRAS **** Outdoor Terrace With Barbecue Area, Party Room, Exercise Room, Media/Games Room And Guest Suites! Stainless Steel Appliances. One Parking Spot And Two Lockers. (27489797)","1","1 + 1",,"Apartment","Storage - Locker, Party Room, Exercise Centre, Recreation Centre",,"$545,000 ","Single Family","1","Condominium/Strata","M8Z0C3"
"E4965737","Excellent East View Building, Great Location, Ttc At Door Step, Kennedy Station In Few Minutes, Home Depot, Restaurants, Many Businesses. Maintenance Fees Cover All Utilities And Parking.**** EXTRAS **** Fridge, Stove, Washer, Dryer, Elfs Included (27489408)","2","2 + 1",,"Apartment",,,"$399,900 ","Single Family","1","Condominium/Strata","M1J3N3""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"W4965539","All Incl. Condo. Well Landscaped And Maintained. Bldng Ent. And Elevators Recently Updated (2017). Amties: Gym, Study, Party Rm W Shared Kit. Steps From Subway, Grocery Store, Shops, And More. Spacious Foyer Leads Into Open Concept Liv/Din Area. Cut-Out Offers Visibility Into The Kit. Kit. Boasts Ample Storage, A Large Walk-In Pantry And In-Suite Laundry. Balcony Offers Some Privacy With Full Wall. Lg Master Ft. Large Windows, Ensuite & Walk-In Closet.**** EXTRAS **** Fridge, Stove, Dish Washer, Washer/Dryer, All Elfs, All Window Coverings (27488931)","2","2",,"Apartment","Security/Concierge, Party Room, Exercise Centre, Recreation Centre",,"$799,000 ","Single Family","1","Condominium/Strata","M8X2Z3"
"W4965549","Welcome To This Charming & Cozy Brick Bungalow In South Etobicoke.Spacious 2+2 Home With Abundance Of Light, 1540 Sq Ft Of Living Space. Finished Bsmt W/Separate Entrance, Kitchen And 2 Pcs Bath. Perfect For First Time Home Buyers And Downsizers. Located On A Family Friendly Street, This Home Features A Private Driveway With 3 Cars Parking. Walking Distance To Humber College, Shopping, Kipling Ttc, Lake, Colonel Samuel Smith Park And Much More.**** EXTRAS **** Fridge, Stove, Washer/Dryer, Fridge & Freezer In The Bsmt. All Window Coverings & Elfs. 2 Excl:Drapes On Main Floor. Buyers And Buyer's Agent To Verify All Measurements, Lot Size And Taxes. Sellers Do Not Warrant Retrofit Status Of Bsmt. (27488942)","2","2 + 2",,"House",,,"$849,500 ","Single Family",,"Freehold","M8V3L5"
"C4965725",".Tridel Luxury Building In """"Aristo/Avonshire"""" Community,Prime Yonge/Sheppard/401 Area, Sub Penthouse, 2Bdrm Corner Unit, South-West Exposure, 9Ft Ceilings And Open Concept Modern Kitchen..Amenities: Guest Suite, Urban Spa, Sauna, Fitness, Party Room. Includes Parking And Locker. Laminate Floor Thru-Out. Amenities Include Gym.**** EXTRAS **** S/S Fridge, Built-In S/S Oven, Built-In S/S Microwave, Built-In Ceramic Cook-Top, Dishwasher, Washer & Dryer. (27489113)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$729,000 ","Single Family","1","Condominium/Strata","M2N0C2"
"C4965756","Bright And Spacious Unit With Fantastic View In The Prestigious Minto Condo! 817 Sq.Ft + 110 Sq.Ft Balcony. Perfectly Located In The Heart Of Yonge & Eglinton. Steps To Eglinton Subway, Shops, Restaurants And Entertainment!**** EXTRAS **** Stainless Steel Fridge, Stove, Microwave & Dishwasher, Washer & Dryer. (27489145)","2","2 + 1",,"Apartment","Security/Concierge, Party Room, Sauna, Exercise Centre",,"$899,000 ","Single Family",,"Condominium/Strata","M4P0B9"
"E4965540","*Professionally Renovated & Move-In Ready!* Custom Kitchen W/ Quartz Counter & New Samsung Stainless Steel Appliances. Led Pot Lights And Engineered Hardwood Flooring Throughout. Separate Entrance To Basement With Additional 3 Bedrooms & Custom Kitchen W/ Samsung Stainless Steel Appliances. Shared Laundry In Common Area. Fantastic Pie Shaped Yard With Large Deck & Gazebo For Entertaining.  Within Close Proximity To Schools, Uot, Centennial, Stc, Hospital &401**** EXTRAS **** New Samsung Ss Kitchen Appliances (Fridge X2/Stove X2/Dishwasher), New Washer/Dryer,  200A Service, New Sub Panel  & Bsmt Electrical Rewire (W/Permit), New Front Door, New Roof, New Hwt (Rental), New Furnace & Ac, R50 Blown Insulation. (27488948)","3","3 + 3",,"House",,,"$799,900 ","Single Family","3","Freehold","M1G2M2"
"40037663","Welcome To 940 The Greenway! Large Premium 80 X 140 Lot Offers A Great Opportunity To Build Your Dream Home In The Much Sought After Lakeview. South Of Lakeshore And Surrounded By Multi-Million Dollar Homes This Prime Location Will Not Disappoint. Lake Ontario, Waterfront Trail, Port Credit Village, Yacht Club, Marina, The Adamson Estate & Parks Are All Only Steps Away. A New Custom Home On This Picturesque Tree-Lined Crescent Awaits! Book A Showing Today! (62560612)","0","0 + 0","1004.0000","House",,,"$1,299,900 ","Single Family","5","Freehold","L5G1P6"
"H4091551","Spacious townhome located in the heart of Mississauga right across from a gorgeous park and walking trails. This home features 9 foot ceilings on ground and main levels, hardwood flooring throughout,eat-in kitchen, open-concept living/dining room with hardwood stairs and large bright bedrooms with renovated bathroom. The home is immaculately maintained (Roof-2014 & Furnace/AC-2018). Convenience of a private driveway and garage with access to ground floor den with a full bathroom. Close to Square 1, Cooksville Go Station, amenities and highways. Homes in this quiet alcove don't go on sale often so book a showing today to see why for yourself. (26614508)","3","2 + 1","1200.0000","Row / Townhouse",,,"$659,500 ","Single Family","2","Condominium","L5B4L3"
"H4091527","Welcome to this spacious and beautifully maintained 1 Bedroom + Den, 1 Bath in the heart of downtown Toronto, Updated condo in "" The Modern"" has quick access to Central business districts, transportation is at your door step.  Upgrades (approx 12K) include engineered hardwood throughout, upgraded kitchen hardware, ceasertone counter-top with mirrored back-splash.  Updated lighting fixtures throughout and window treatments. Den can be converted into a second bedroom, murphy bed included. 9ft Floor to ceiling windows with unobstructed west facing views of the city.   Stunning lobby and marvelous amenities with a low maintenance fee of $ 489.96, walking distance to St. Lawrence market, restaurants, cafes and financial district. 24 hour concierge & security, gym/fitness centre, billiards, roof top terrace with BBQ area, steam room and sauna, pool & outdoor pool, hot tub,  party room with wet bar and lounge. Underground parking space included. Investors, you dont want to miss out on this opportunity! Spotless and move in Ready! (26614263)","1","2","685.0000","Apartment","Car Wash, Exercise Centre, Guest Suite, Party Room",,"$674,000 ","Single Family","1","Condominium","M5A1P9"
"40037656","Stylish Bloor Walk Condo at Church-Yonge on a quiet cul-de-sac. A well kept building with 24 hours concierge, indoor pool, panoramic roof top outdoor entertaining space with BBQ, fully equipped gym and games room. This bright sun filled south facing condo has one bedroom and a den with open concept kitchen with granite counters and living/dining room combo. This condo comes with 1 parking space (valued at $40-45k and could be rented out for $160/month) and a locker. Fantastic location minutes to Yorkville, TTC, Ryerson and UofT. Best of downtown living and is move-in ready. (62560530)","1","1 + 0","580.0000","Apartment","Exercise Centre",,"$579,999 ","Single Family","1","Condominium","M4Y3C7""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"C4920215","Excellent Location, Bright, Spacious, Approx. 1390 S.F., Parquet Floors, Marble Foyer, Shows Well, Minutes To Subway And Highway, Two Side By Side Parking Near Elevator, Large Locker, Se View, 6 Appliances, Laminate Flooring, Located Within The Earl Haig School District**** EXTRAS **** Fridge, Stove, B/I Dishwasher, Washer, Dryer, And Freezer: Locker, 2 Side By Side Parking Near Elevator (27442165)","2","2 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$646,000 ","Single Family","2","Condominium/Strata","M2N6K6"
"C4964679","The Ultimate In Luxury Resides In This Penthouse Suite @ Yc Condos. This Award Wining Development Is The Epitome Of Sophisticated Urban Design. Clear. Sleek Gourmet Kitchen, Gorgeous En-Suite & Superior Finishes Throughout. 9,310 Sq Ft Of Amenities Including State-Of-The-Art Gym And A Dedicated Yoga And Stretch Studio That Opens To The Fresh Air. Stunning Infinity Pool Overlooking The Toronto Skyline.**** EXTRAS **** Amazing Location Collage/Yonge, Near Major Hospitals, Universities, Queens Park. Considered """"Park Heaven'. Fridge/Freezer, Dishwasher, Front Load Washer/Dryer, Fantastic East Facing View. (27486671)","1","0 + 1",,"Apartment","Security/Concierge, Exercise Centre, Recreation Centre",,"$488,888 ","Single Family",,"Condominium/Strata","M4Y0E9"
"C4964948","Wow! Your Search Stops Here! Incredible Opportunity To Own A Spacious (1619 Sq Ft) Modern Townhome In The Heart Of The City W/ Private Street Level Entry & An Entertainer's Delight Ground Level Terrace (Gas Line And /Water) & Direct Access To The Met Condo Amenities & Underground Parking Through The Unit! Two Oversize Bedrooms W/Ensuites & Walk-In Closets W/Custom Organizers. The Master On Private Level! 99 Walk Score!**** EXTRAS **** Large Den Can Be Used As Guest Room. Excellent Floor Plan Ideal For Both Entertaining And Every Day Living! Stainless Steel Appliances; Load Washer & Dryer; Complete W/Parking, 2 Lockers & 2 Bike Racks. Steps To All Transit & Conveniences. (27486951)","3","2 + 1",,"Row / Townhouse","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$888,000 ","Single Family","1","Condominium/Strata","M5B2J5"
"C4964957","Breathtaking View, Excellent Layout, Approx 646 + 47 Sqft Balcony.  Open Concept Kitchen W/Granite Countertops, State Of The Art 22,000 Sqft Amenities, Including Indoor Lap Pool, Children's Pool, Hot Tub, Basketball/Badminton Crt, Gym, Theatre, Party Room, Pet Spa And Etc. Excellent Walkability Score! 5 Minutes Walk To Leslie Station. Easy Access To 401.404, Close To Bayview Village**** EXTRAS **** Fridge, Stove, B/I Dishwasher, Combo Washer/Dryer, Microwave, Hood Fan. *One Parking*, *Locker* Included. (27486964)","1","1 + 1",,"Apartment","Storage - Locker",,"$529,000 ","Single Family","1","Condominium/Strata","M2K0B1"
"C4965001","Attention Builders & Investors. Solid Detached Home Is Ideal For Renovation Or To Build New. Located In Prime Davisville Village, Maurice Cody / Hodgson School District. 25 Ft X 176 Ft Deep Lot & Situated A Short Walk To Bayview Shops & Restaurants. House Being Sold In """"As Is"""" Condition.**** EXTRAS **** Fridge, Stove, Washer, Dryer, In As Is Condition. Light Fixtures + Window Coverings. Water Heater Is Owned. (27487019)","2","3",,"House",,,"$1,399,000 ","Single Family",,"Freehold","M4S1B8"
